SCATS_Number	SCATS Neighbours	NB_LATITUDE	NB_LONGITUDE	V00	Location
970	2846 3685	-37.86735	145.09195	6	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	10	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	9	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	27	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	40	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	9	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	8	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	13	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	8	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	15	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	32	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	29	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	11	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	11	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	22	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	12	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	12	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	24	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	40	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	13	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	8	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	12	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	10	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	17	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	25	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	37	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	11	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	11	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.8676	145.09146	92	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	31	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	20	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	32	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	42	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	31	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	87	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	108	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	32	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	29	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	24	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	40	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	46	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	78	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	115	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	21	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	27	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	40	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	50	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	40	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	87	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	111	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	42	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	35	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	30	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	39	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	52	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	84	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	141	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	41	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.8676	145.09146	34	WARRIGAL_RD S of HIGH STREET_RD
970	2846 3685	-37.86723	145.09103	47	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	15	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	10	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	20	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	16	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	42	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	67	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	23	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	16	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	22	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	18	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	16	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	49	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	66	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	18	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	11	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	22	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	20	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	29	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	51	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	60	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	18	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	27	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	22	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	22	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	21	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	51	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	52	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	15	HIGH STREET_RD W of WARRIGAL_RD
970	2846 3685	-37.86723	145.09103	15	HIGH STREET_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.8516827	145.0943457	46	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	14	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	11	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	16	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	26	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	19	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	43	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	79	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	15	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	15	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	24	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	14	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	77	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	6	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	11	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	23	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	25	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	49	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	78	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	19	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	19	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	23	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	21	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	22	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	32	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	66	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	26	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.8516827	145.0943457	17	WARRIGAL_RD N of TOORAK_RD
2000	3685 4043 3682	-37.85193	145.09463	94	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	46	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	28	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	32	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	34	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	48	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	46	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	120	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	26	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	31	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	44	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	35	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	111	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	32	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	25	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	52	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	37	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	49	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	78	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	102	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	37	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	21	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	35	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	35	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	33	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	79	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	98	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	48	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85193	145.09463	33	BURWOOD_HWY E of WARRIGAL_RD
2000	3685 4043 3682	-37.85221	145.09425	110	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	28	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	23	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	30	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	40	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	38	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	72	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	116	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	32	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	35	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	29	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	26	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	108	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	20	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	27	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	41	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	36	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	83	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	115	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	36	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	23	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	30	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	37	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	37	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	88	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	140	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	33	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85221	145.09425	37	WARRIGAL_RD S of BURWOOD_HWY
2000	3685 4043 3682	-37.85187	145.09407	115	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	46	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	38	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	43	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	45	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	54	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	98	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	122	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	40	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	40	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	67	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	47	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	125	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	44	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	37	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	48	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	57	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	66	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	104	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	159	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	43	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	31	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	47	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	42	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	62	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	120	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	125	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	41	TOORAK_RD W of WARRIGAL_RD
2000	3685 4043 3682	-37.85187	145.09407	40	TOORAK_RD W of WARRIGAL_RD
2200	4063	-37.81631	145.09812	25	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	4	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	7	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	3	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	8	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	8	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	17	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	39	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	2	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	5	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	6	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	5	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	13	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	29	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	21	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	4	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	6	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	11	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	6	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	18	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	20	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	29	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	5	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	4	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	12	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	10	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	8	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	20	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	30	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	8	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81631	145.09812	5	UNION_RD N of MAROONDAH_HWY
2200	4063	-37.81655	145.09831	38	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	17	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	9	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	16	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	17	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	24	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	44	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	46	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	7	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	8	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	14	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	15	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	16	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	45	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	44	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	15	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	8	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	19	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	19	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	23	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	33	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	53	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	11	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	6	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	10	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	11	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	18	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	35	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	44	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	14	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81655	145.09831	12	MAROONDAH_HWY E of UNION_RD
2200	4063	-37.81682	145.09802	36	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	7	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	10	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	10	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	14	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	11	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	31	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	29	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	4	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	5	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	11	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	9	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	10	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	25	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	32	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	8	UNION_RD S of MAROONDAH_HWY
2200	4063	-37.81682	145.09802	8	UNION_RD S of MAROONDAH_HWY
